学习自主,学习能力,学习归属
3.6667,3.7778,4.2
3.3333,3.3333,3.8
3.7778,3.1111,3.1
3.0,3.4444,3.6
3.0,3.5556,3.4
2.6667,2.6667,3.4
3.6667,4.2222,4.6
3.3333,3.7778,4.2
3.5556,3.5556,3.7
3.3333,3.5556,3.1
2.8889,2.6667,3.2
3.0,3.7778,3.9
3.4444,2.7778,3.5
4.5556,4.8889,3.6
3.4444,2.6667,4.4
2.8889,2.6667,3.3
4.5556,4.1111,4.6
2.7778,3.2222,3.9
1.4444,1.2222,2.6
2.8889,3.3333,4.5
2.7778,3.0,3.2
2.7778,2.0,3.6
3.4444,3.2222,3.1
2.4444,2.4444,3.0
3.1111,3.4444,3.4
3.3333,3.0,3.2
3.0,2.3333,2.7
3.5556,2.6667,3.4
2.6667,2.5556,3.2
2.8889,4.3333,3.8
4.2222,4.6667,4.7
3.4444,3.5556,4.0
3.4444,3.5556,3.8
2.1111,2.5556,3.1
3.3333,3.3333,3.4
3.2222,3.1111,3.3
2.8889,3.4444,3.9
3.4444,2.7778,4.5
3.7778,3.4444,3.6
2.7778,2.4444,2.9
4.0,4.2222,4.5
3.7778,3.5556,4.6
3.7778,3.0,4.0
4.1111,3.4444,3.5
3.2222,3.5556,3.1
3.7778,3.2222,4.1
3.7778,3.4444,3.5
2.0,3.0,3.6
3.5556,3.7778,3.7
4.5556,4.0,3.9
3.2222,3.3333,3.5
3.3333,3.0,2.6
4.6667,3.1111,3.9
3.4444,2.6667,4.2
2.8889,3.5556,3.1
3.8889,3.0,3.0
4.3333,4.0,4.7
4.0,3.3333,4.1
2.7778,2.7778,2.9
3.5556,3.4444,4.2
2.8889,3.4444,3.7
2.4444,2.1111,2.3
3.1111,3.2222,3.4
4.0,4.3333,4.7
3.1111,2.8889,2.3
4.0,3.4444,3.5
3.0,3.1111,3.3
3.0,3.8889,2.8
4.0,4.1111,3.8
3.4444,2.6667,4.3
4.1111,4.0,3.7
3.4444,3.4444,3.1
3.4444,3.0,3.0
3.2222,3.8889,3.8
2.7778,3.6667,3.5
3.6667,3.6667,3.8
3.8889,3.1111,4.0
2.4444,2.7778,3.1
3.5556,3.3333,2.9
3.1111,3.3333,3.1
3.2222,3.7778,3.8
3.8889,2.6667,3.7
4.0,3.3333,3.3
2.4444,2.7778,2.8
3.3333,3.6667,3.4
3.0,2.0,2.6
1.8889,2.4444,3.7
3.4444,3.4444,3.9
4.1111,3.8889,4.4
3.7778,3.6667,4.1
4.0,3.8889,4.5
3.1111,2.6667,4.2
2.8889,2.6667,3.2
2.6667,3.4444,3.4
3.3333,3.7778,4.1
2.4444,3.1111,2.4
3.2222,2.7778,3.6
3.5556,4.4444,4.5
3.2222,3.2222,3.5
3.6667,3.6667,3.8
3.6667,3.7778,4.0
2.7778,2.7778,2.8
3.5556,2.8889,4.1
3.0,2.0,3.5
2.8889,3.2222,2.9
2.8889,3.1111,3.0
3.3333,3.2222,3.5
3.0,3.6667,4.5
3.4444,3.0,3.7
2.5556,2.3333,2.7
3.6667,3.0,3.1
4.3333,3.4444,3.1
2.8889,2.8889,3.5
3.4444,3.1111,4.5
3.0,3.0,3.0
3.3333,3.1111,3.3
2.3333,2.7778,2.6
1.0,1.3333,1.0
4.8889,4.1111,5.0
2.7778,2.7778,3.1
4.0,3.4444,3.1
3.6667,3.6667,4.5
3.1111,2.3333,3.4
3.8889,4.0,5.0
3.0,3.1111,3.1
3.5556,3.5556,3.9
3.2222,3.4444,3.9
2.6667,1.2222,3.6
4.3333,4.5556,4.9
3.8889,3.0,4.1
3.5556,2.8889,3.7
4.0,2.0,2.7
3.5556,3.7778,3.5
3.1111,2.2222,4.1
3.1111,3.4444,3.9
3.7778,3.8889,4.0
4.1111,4.1111,4.5
4.8889,3.0,3.2
4.1111,4.1111,4.3
3.1111,3.8889,3.7
2.8889,3.1111,4.6
3.5556,3.5556,3.3
3.0,3.3333,3.2
4.0,3.5556,3.6
2.2222,1.8889,3.3
3.0,3.4444,3.3
3.8889,4.3333,4.5
2.2222,2.6667,3.5
2.5556,3.4444,3.9
3.6667,2.6667,3.1
3.2222,4.0,4.1
2.8889,3.0,4.0
3.3333,3.3333,3.4
3.8889,3.2222,4.0
3.0,3.0,4.0
4.3333,4.7778,4.7
3.0,3.5556,3.5
2.5556,2.5556,1.2
4.1111,2.1111,4.0
3.4444,3.4444,4.0
3.0,3.0,3.0
2.7778,4.0,4.4
2.8889,3.2222,3.8
3.1111,4.0,4.6
3.4444,2.7778,3.8
3.3333,3.1111,3.5
2.7778,2.7778,2.8
3.8889,4.2222,4.1
4.5556,3.8889,3.5
4.1111,4.5556,4.8
3.1111,2.3333,2.9
3.4444,3.2222,3.1
3.7778,2.4444,3.2
3.4444,3.5556,3.7
3.4444,3.6667,3.8
3.7778,3.4444,4.2
3.8889,4.0,3.6
2.8889,2.6667,3.0
3.3333,3.1111,3.8
3.2222,3.4444,3.8
3.2222,3.1111,3.6
2.2222,2.3333,3.5
3.1111,3.1111,3.1
3.6667,3.0,3.2
2.3333,2.0,4.3
2.3333,2.6667,3.4
3.2222,2.8889,3.4
3.1111,2.8889,4.0
3.0,3.3333,3.6
3.2222,3.8889,3.9
2.8889,1.6667,2.8
3.6667,4.0,4.4
3.0,3.5556,2.4
3.0,2.5556,3.8
2.8889,2.3333,2.5
2.8889,4.2222,4.9
3.5556,3.7778,3.7
3.2222,3.2222,4.0
3.0,2.8889,4.2
2.8889,1.6667,1.8
2.4444,2.7778,3.6
3.3333,3.4444,4.2
3.7778,3.0,2.8
2.4444,2.5556,3.3
2.4444,2.0,3.5
3.6667,3.4444,4.2
3.4444,3.4444,4.1
4.1111,4.3333,4.6
4.1111,3.4444,4.4
4.3333,4.0,4.7
3.3333,3.4444,3.1
3.6667,3.7778,4.5
2.5556,3.1111,3.1
3.1111,3.8889,3.8
2.2222,3.3333,4.0
2.8889,2.2222,2.7
2.8889,3.2222,3.9
3.3333,3.2222,3.9
2.7778,3.3333,3.8
4.1111,3.1111,4.1
3.3333,2.6667,3.3
3.4444,3.5556,3.6
4.1111,3.8889,4.4
3.6667,3.6667,3.8
3.2222,2.8889,2.8
3.0,3.0,3.0
4.0,3.5556,4.0
4.1111,4.1111,4.2
3.7778,3.6667,4.0
4.0,3.3333,4.0
3.4444,1.1111,3.4
4.0,4.3333,3.7
3.3333,3.0,3.6
3.7778,3.8889,4.5
3.5556,3.5556,4.4
3.3333,3.2222,3.7
2.5556,2.7778,3.5
3.4444,3.0,3.5
2.7778,3.4444,4.1
3.4444,3.2222,3.1
3.2222,4.1111,3.6
4.5556,3.8889,4.0
2.8889,4.0,3.9
3.5556,3.8889,3.8
3.2222,3.3333,3.5
3.8889,3.6667,4.1
3.6667,3.8889,4.4
2.3333,2.3333,2.8
1.7778,1.3333,1.0
3.2222,3.2222,2.9
3.2222,3.3333,2.4
3.2222,3.0,3.0
3.4444,3.1111,3.5
4.1111,4.1111,4.9
3.0,2.8889,3.0
3.8889,4.1111,4.1
4.0,3.4444,3.8
3.8889,4.5556,4.2
4.2222,3.8889,4.5
3.0,3.2222,2.9
3.3333,3.2222,2.7
2.6667,3.0,3.0
3.2222,2.7778,3.7
3.0,3.0,2.6
4.0,3.8889,3.6
3.4444,3.6667,4.0
4.5556,4.7778,5.0
3.7778,3.7778,4.6
3.5556,3.6667,4.0
3.8889,4.0,4.3
3.2222,3.0,3.4
2.7778,2.6667,2.6
3.2222,3.7778,3.5
3.8889,4.0,4.9
3.0,3.4444,3.3
3.3333,4.1111,4.4
2.7778,2.8889,3.0
3.5556,3.6667,4.0
3.0,3.3333,3.4
3.0,3.0,3.0
3.2222,4.2222,2.9
3.5556,4.2222,3.5
3.4444,3.2222,4.1
2.7778,2.8889,3.1
3.6667,3.4444,3.9
3.4444,2.7778,4.5
2.3333,2.5556,3.1
3.4444,2.8889,2.2
3.5556,3.5556,4.1
2.5556,2.8889,2.8
3.1111,3.1111,3.0
4.0,3.3333,3.5
3.3333,2.7778,2.5
3.4444,3.1111,3.6
3.4444,4.0,3.2
3.8889,3.7778,3.5
3.5556,3.8889,4.7
3.0,3.0,3.6
3.8889,3.6667,4.3
2.7778,2.7778,3.5
2.6667,2.5556,3.0
3.8889,4.4444,4.8
2.7778,3.2222,3.8
3.6667,3.6667,4.3
3.2222,4.0,4.2
3.0,3.3333,3.8
3.3333,2.3333,3.2
4.2222,3.5556,4.6
4.5556,4.0,3.7
2.3333,2.5556,2.1
3.6667,3.1111,3.5
3.1111,3.2222,3.9
2.7778,2.5556,3.8
3.2222,3.2222,3.8
4.1111,3.7778,4.3
3.5556,3.8889,4.1
4.3333,4.1111,4.1
2.8889,2.6667,3.5
4.3333,4.3333,4.9
4.2222,3.6667,3.8
3.3333,4.0,4.3
3.0,2.7778,3.0
2.5556,2.2222,3.6
3.4444,3.2222,3.8
3.2222,3.2222,3.0
4.0,3.8889,4.4
2.8889,3.0,3.3
3.7778,3.7778,3.4
3.6667,3.6667,3.0
3.5556,4.2222,4.0
3.6667,3.6667,3.5
3.5556,3.8889,3.4
3.6667,3.6667,3.8
3.4444,3.2222,3.8
3.3333,3.2222,2.4
3.1111,2.8889,2.9
3.1111,3.6667,3.5
3.1111,3.6667,3.5
3.0,3.4444,3.8
3.6667,3.0,3.5
4.4444,3.4444,4.4
3.2222,2.6667,3.2
